summoner,individualPosition,games,mean_kda,std_kda,cv_kda,volatility
WT Final Stand#EUW,BOTTOM,13.0,1.8503393665158374,0.9838222333627433,0.5316982663646542,0.8740079365079364
BuddhaGoesSmite#EUW,BOTTOM,10.0,2.168611111111111,1.9068203204727765,0.8792818180737795,1.7851851851851852
Sporus#EUW,BOTTOM,72.0,2.780587111069567,2.348017790251106,0.8444323793718259,2.1162515311885217
Billy Bongo#EUW,BOTTOM,20.0,4.057112624217887,3.0363816696323482,0.7484095096368415,2.6739495798319326
Tibbtokontop#EUW,BOTTOM,34.0,4.495133053221288,4.895837177616152,1.089141771700776,4.964718614718615
WT GigaChad#1070,BOTTOM,75.0,5.734726996859351,5.185453638417904,0.9042197895833126,5.221363636363637
WT Nasty Boy#EUW,BOTTOM,13.0,5.625462962962963,7.2299113918244275,1.2852118020196497,6.643333333333333
Billy Bongo#EUW,JUNGLE,21.0,2.2237116058544633,1.2823493093353695,0.5766706914508483,0.9947150072150072
WT Final Stand#EUW,JUNGLE,48.0,2.9529878146544815,1.6786128515217873,0.5684455733923155,1.913027487417731
WT Nasty Boy#EUW,JUNGLE,40.0,3.3134704184704185,2.505045095185279,0.7560185481727255,2.6184001184001184
BuddhaGoesSmite#EUW,JUNGLE,25.0,3.8264550264550263,3.437753713494428,0.8984173836427639,3.147871572871573
WT BrokenSword#EUW,JUNGLE,86.0,3.495465926478585,3.8784867361259865,1.1095764678310756,3.3019901780318444
Tibbtokontop#EUW,JUNGLE,42.0,5.193689508323654,4.065149247106506,0.782709332275544,4.554412254412254
WT GigaChad#1070,JUNGLE,12.0,6.532870370370371,7.7251674335214275,1.1825073812207698,6.635209235209235
WT BrokenSword#EUW,MIDDLE,6.0,2.033994708994709,0.42155049103814246,0.2072525012842789,0.5473015873015872
WT Final Stand#EUW,MIDDLE,32.0,1.927700972862263,1.8459117516952313,0.9575716242724147,2.247974822112753
Tibbtokontop#EUW,MIDDLE,20.0,3.713123718386876,2.9845100075326556,0.8037733816284586,3.9230455818691117
BuddhaGoesSmite#EUW,MIDDLE,13.0,3.2475801975801977,3.3700614201386023,1.037714610604433,3.8814814814814813
Billy Bongo#EUW,MIDDLE,161.0,4.03700238997114,3.482984947312297,0.8627651437524159,3.297244597877509
WT GigaChad#1070,MIDDLE,19.0,5.154517396184064,4.333717123116069,0.8407609849807394,4.145265151515152
WT Nasty Boy#EUW,MIDDLE,15.0,6.554790249433107,9.613424633082987,1.4666258213089896,5.422949735449737
Sporus#EUW,TOP,5.0,1.2124786324786325,0.900274225476762,0.7425072915605607,1.0215811965811965
BuddhaGoesSmite#EUW,TOP,8.0,2.093032212885154,1.5766542362009026,0.7532871336115526,1.5787114845938375
Billy Bongo#EUW,TOP,12.0,2.246819384319384,1.641902903751684,0.7307676421213786,2.426564344746163
WT BrokenSword#EUW,TOP,14.0,1.7362637362637363,2.059056776536413,1.1859124472456555,1.8818181818181818
WT Final Stand#EUW,TOP,126.0,3.005233886483886,3.4125405956856407,1.1355324492491672,2.952629680261259
Tibbtokontop#EUW,TOP,89.0,4.246976256067165,3.872615412601149,0.9118523813427942,4.037414846135777
WT Nasty Boy#EUW,TOP,33.0,5.343103448275862,5.236439918750802,0.9800371580753358,4.759821428571429
Billy Bongo#EUW,UTILITY,12.0,2.2270833333333333,1.169640345044772,0.5251893036683729,1.6601010101010099
WT BrokenSword#EUW,UTILITY,21.0,2.518506493506494,1.7577966661919173,0.697952008749659,1.8361363636363635
WT Final Stand#EUW,UTILITY,19.0,2.6689342820921773,2.967144823538524,1.1117339394406442,2.5881172839506172
Tibbtokontop#EUW,UTILITY,18.0,4.64457671957672,3.1294103524517176,0.6737772979960409,4.076190476190476
WT Nasty Boy#EUW,UTILITY,30.0,4.001725159760874,3.1494351784041332,0.7870193610678475,3.165628815628815
BuddhaGoesSmite#EUW,UTILITY,149.0,4.389950096200097,3.805197418150517,0.866797420190326,3.6691841332129105
WT GigaChad#1070,UTILITY,15.0,5.025317460317461,5.119907427923941,1.018822685005159,3.607653061224489
