summoner,individualPosition,goldEarned,cs,kills,deaths,assists,totalDamageDealtToChampions,visionScore,teamDragons,teamBarons,teamTowers,enemyDragons,enemyBarons,enemyTowers,timePlayed
Billy Bongo#EUW,BOTTOM,15258.25,212.85,10.7,6.55,12.1,36367.95,19.8,2.7,1.15,6.95,2.15,0.4,6.3,2037.6
Billy Bongo#EUW,JUNGLE,12520.952380952382,169.52380952380952,7.0,7.476190476190476,8.857142857142858,20852.47619047619,17.80952380952381,1.619047619047619,0.2857142857142857,3.3333333333333335,2.3333333333333335,0.5238095238095238,6.857142857142857,1838.5238095238096
Billy Bongo#EUW,MIDDLE,14588.509316770187,216.7391304347826,9.788819875776397,5.888198757763975,8.118012422360248,32835.57763975155,16.869565217391305,2.4658385093167703,0.8509316770186336,5.913043478260869,1.795031055900621,0.39751552795031053,6.3354037267080745,1920.391304347826
Billy Bongo#EUW,TOP,14378.25,205.33333333333334,9.416666666666666,8.083333333333334,6.166666666666667,42746.5,18.666666666666668,2.5833333333333335,0.8333333333333334,5.75,1.75,0.4166666666666667,7.416666666666667,2033.3333333333333
Billy Bongo#EUW,UTILITY,8062.0,26.666666666666668,2.75,7.333333333333333,12.833333333333334,10084.916666666666,46.083333333333336,1.5,0.4166666666666667,4.083333333333333,2.1666666666666665,0.25,5.666666666666667,1747.5
BuddhaGoesSmite#EUW,BOTTOM,10271.7,168.8,4.2,6.0,7.4,20785.3,19.8,1.5,0.5,3.8,2.2,0.3,6.4,1657.3
BuddhaGoesSmite#EUW,JUNGLE,12581.4,171.44,6.88,5.64,10.16,20573.84,30.2,2.16,0.88,6.4,2.08,0.28,6.72,1892.4
BuddhaGoesSmite#EUW,MIDDLE,13594.0,174.15384615384616,10.76923076923077,7.461538461538462,7.384615384615385,34946.0,23.76923076923077,1.6923076923076923,0.5384615384615384,4.384615384615385,2.6153846153846154,0.46153846153846156,5.769230769230769,1945.5384615384614
BuddhaGoesSmite#EUW,TOP,12662.0,188.625,5.875,8.0,7.25,25806.875,27.875,2.375,0.375,3.875,2.375,0.875,7.5,2030.25
BuddhaGoesSmite#EUW,UTILITY,9855.167785234898,35.644295302013425,3.6778523489932886,5.912751677852349,16.65771812080537,18936.11409395973,73.71140939597315,2.4496644295302015,0.8389261744966443,5.76510067114094,1.8724832214765101,0.42953020134228187,6.597315436241611,1932.275167785235
Sporus#EUW,BOTTOM,13595.097222222223,198.0,7.402777777777778,7.569444444444445,8.527777777777779,23984.597222222223,18.930555555555557,2.1527777777777777,0.7222222222222222,5.638888888888889,2.1666666666666665,0.4166666666666667,6.791666666666667,1960.5416666666667
Sporus#EUW,JUNGLE,11773.666666666666,184.0,5.333333333333333,7.0,5.666666666666667,18851.0,19.666666666666668,2.0,0.0,3.6666666666666665,2.3333333333333335,1.0,10.0,1931.6666666666667
Sporus#EUW,TOP,10119.8,155.2,2.4,7.2,5.2,16647.0,15.8,2.6,1.0,6.4,1.4,0.2,5.4,1804.4
Sporus#EUW,UTILITY,11239.0,185.0,3.0,7.0,5.0,16240.0,20.0,0.0,0.0,3.0,4.0,2.0,11.0,1981.0
Tibbtokontop#EUW,BOTTOM,12613.382352941177,203.55882352941177,6.382352941176471,4.470588235294118,7.764705882352941,23328.58823529412,21.705882352941178,2.0,0.6470588235294118,3.9705882352941178,2.3823529411764706,0.4117647058823529,7.5,1950.0
Tibbtokontop#EUW,JUNGLE,12266.57142857143,180.3095238095238,6.166666666666667,4.238095238095238,10.19047619047619,18999.738095238095,27.404761904761905,2.2142857142857144,0.6428571428571429,5.309523809523809,1.8571428571428572,0.35714285714285715,6.238095238095238,1885.142857142857
Tibbtokontop#EUW,MIDDLE,12373.95,205.35,4.65,4.15,8.15,23637.7,22.8,2.15,0.85,4.7,2.2,0.3,7.15,1947.35
Tibbtokontop#EUW,TOP,12931.404494382023,207.12359550561797,6.01123595505618,4.134831460674158,6.52808988764045,24213.719101123595,24.258426966292134,2.449438202247191,0.7303370786516854,5.820224719101123,1.8426966292134832,0.47191011235955055,6.348314606741573,1929.3033707865168
Tibbtokontop#EUW,UTILITY,8988.166666666666,43.0,2.6666666666666665,4.222222222222222,14.777777777777779,9917.777777777777,63.111111111111114,2.3333333333333335,0.8333333333333334,5.555555555555555,1.6666666666666667,0.2222222222222222,5.944444444444445,1821.888888888889
WT BrokenSword#EUW,BOTTOM,24918.0,371.0,5.0,8.0,27.0,30674.0,38.0,5.0,3.0,8.0,4.0,2.0,11.0,3539.0
WT BrokenSword#EUW,JUNGLE,10247.813953488372,139.37209302325581,2.9302325581395348,5.069767441860465,9.732558139534884,10072.476744186046,26.558139534883722,2.4302325581395348,0.7441860465116279,5.127906976744186,1.9186046511627908,0.5116279069767442,6.8023255813953485,1938.2906976744187
WT BrokenSword#EUW,MIDDLE,9970.0,128.16666666666666,4.333333333333333,7.0,9.833333333333334,16220.166666666666,19.833333333333332,1.6666666666666667,0.5,4.0,2.8333333333333335,0.6666666666666666,8.0,2034.0
WT BrokenSword#EUW,TOP,8188.714285714285,125.07142857142857,1.5714285714285714,4.571428571428571,5.857142857142857,9815.714285714286,17.142857142857142,1.6428571428571428,0.35714285714285715,3.4285714285714284,2.0714285714285716,0.35714285714285715,6.285714285714286,1688.642857142857
WT BrokenSword#EUW,UTILITY,8857.761904761905,28.857142857142858,2.0952380952380953,6.619047619047619,13.904761904761905,9152.047619047618,59.523809523809526,2.0,0.9523809523809523,5.095238095238095,2.7142857142857144,0.38095238095238093,7.666666666666667,2092.6666666666665
WT Final Stand#EUW,BOTTOM,11219.307692307691,154.07692307692307,4.538461538461538,9.23076923076923,11.23076923076923,19549.384615384617,16.923076923076923,2.3076923076923075,0.5384615384615384,5.0,2.1538461538461537,0.6153846153846154,6.769230769230769,2049.846153846154
WT Final Stand#EUW,JUNGLE,10307.729166666666,138.14583333333334,3.3125,5.979166666666667,12.0625,11972.9375,20.458333333333332,2.2916666666666665,0.9375,6.625,1.7916666666666667,0.3333333333333333,5.895833333333333,1892.4583333333333
WT Final Stand#EUW,MIDDLE,9609.1875,141.3125,3.84375,6.875,6.40625,14769.03125,14.15625,1.84375,0.53125,3.84375,2.0625,0.5,7.625,1773.40625
WT Final Stand#EUW,TOP,10124.198412698413,149.4206349206349,3.3174603174603177,5.253968253968254,8.357142857142858,16098.214285714286,16.80952380952381,2.357142857142857,0.7857142857142857,5.158730158730159,1.9285714285714286,0.36507936507936506,6.785714285714286,1916.2619047619048
WT Final Stand#EUW,UTILITY,8510.78947368421,36.31578947368421,1.9473684210526316,6.842105263157895,11.105263157894736,10351.315789473685,47.10526315789474,2.1052631578947367,0.631578947368421,5.105263157894737,2.263157894736842,0.5263157894736842,5.842105263157895,1932.7894736842106
WT GigaChad#1070,BOTTOM,14449.866666666667,219.98666666666668,9.48,4.12,8.813333333333333,27033.8,11.88,2.52,0.8133333333333334,6.026666666666666,1.5733333333333333,0.41333333333333333,6.266666666666667,1852.3066666666666
WT GigaChad#1070,JUNGLE,10923.916666666666,164.0,4.5,5.083333333333333,9.75,14843.5,20.416666666666668,1.5833333333333333,0.5833333333333334,3.5833333333333335,2.5,0.25,6.333333333333333,1789.8333333333333
WT GigaChad#1070,MIDDLE,15382.0,263.57894736842104,8.631578947368421,4.368421052631579,7.421052631578948,31643.36842105263,14.68421052631579,2.3684210526315788,0.5789473684210527,4.421052631578948,2.263157894736842,0.7368421052631579,6.631578947368421,1965.157894736842
WT GigaChad#1070,TOP,12301.333333333334,223.66666666666666,6.0,1.6666666666666667,6.333333333333333,27395.666666666668,9.666666666666666,2.3333333333333335,0.3333333333333333,6.0,1.6666666666666667,0.6666666666666666,6.333333333333333,1763.0
WT GigaChad#1070,UTILITY,9871.266666666666,41.46666666666667,3.933333333333333,5.666666666666667,15.866666666666667,17778.066666666666,41.93333333333333,2.2666666666666666,0.6666666666666666,5.866666666666666,2.0,0.4666666666666667,6.733333333333333,1958.3333333333333
WT Nasty Boy#EUW,BOTTOM,13340.846153846154,201.30769230769232,9.153846153846153,4.230769230769231,5.923076923076923,22942.076923076922,20.846153846153847,2.1538461538461537,0.7692307692307693,4.153846153846154,1.7692307692307692,0.3076923076923077,6.0,1801.6923076923076
WT Nasty Boy#EUW,JUNGLE,13028.45,178.425,7.475,6.2,8.2,21608.825,24.75,2.475,0.85,5.125,2.075,0.5,7.45,1979.35
WT Nasty Boy#EUW,MIDDLE,13295.933333333332,192.06666666666666,8.6,5.133333333333334,8.0,26927.466666666667,23.6,2.4,0.6,5.6,2.1333333333333333,0.4,6.733333333333333,2008.8
WT Nasty Boy#EUW,TOP,14013.60606060606,231.15151515151516,7.181818181818182,3.4242424242424243,7.424242424242424,25563.21212121212,22.393939393939394,2.0606060606060606,0.8484848484848485,6.242424242424242,2.303030303030303,0.5454545454545454,6.303030303030303,1987.909090909091
WT Nasty Boy#EUW,UTILITY,9025.133333333333,42.43333333333333,3.7,4.466666666666667,11.466666666666667,12212.433333333332,64.03333333333333,2.066666666666667,0.6,4.033333333333333,1.9666666666666666,0.4666666666666667,6.666666666666667,1825.2333333333333
