matchId,teamWon,goldEarned,kills,deaths,assists,cs,visionScore,totalDamageDealtToChampions,totalDamageDealt,teamDragons,teamBarons,teamTowers,enemyDragons,enemyBarons,enemyTowers
EUW1_6710789982,True,49916,19,16,35,594,138,70409,577913,3,2,10,1,0,3
EUW1_6710873683,False,52901,26,23,57,603,131,143447,593663,3,1,4,3,1,10
EUW1_6715816244,False,20835,8,15,17,313,34,37386,327830,1,0,2,3,1,11
EUW1_6715904739,True,17997,10,5,8,263,29,16786,163181,3,1,4,0,0,1
EUW1_6715951778,True,1746,0,0,1,18,2,256,5557,0,0,0,0,0,0
EUW1_6717305564,True,22377,13,7,35,302,21,37278,207545,4,1,7,0,0,1
EUW1_6717372874,True,19872,5,10,38,174,65,33961,184728,3,1,8,1,1,6
EUW1_6725236872,True,40635,11,20,68,507,178,70038,513365,3,0,8,3,2,8
EUW1_6726607056,True,20459,14,6,16,228,17,37152,156256,1,0,5,2,0,3
EUW1_6726673722,True,20178,7,6,21,245,56,23105,179433,2,1,11,1,0,1
EUW1_6728011336,True,42556,22,6,33,561,140,53903,583108,4,1,11,1,0,3
EUW1_6728092299,False,38554,13,24,32,496,134,47697,492376,1,1,4,5,1,8
EUW1_6730862496,True,27179,22,11,44,294,38,72387,300086,3,1,11,2,0,6
EUW1_6730939180,False,16938,2,10,9,329,29,21494,210269,1,0,2,2,1,6
EUW1_6731014503,False,9143,2,8,2,176,8,8502,86107,0,0,0,1,0,1
EUW1_6732518205,True,7780,1,6,12,24,57,8977,27323,0,0,7,3,1,5
EUW1_6732591244,True,13752,6,10,17,55,52,29802,107721,3,2,11,3,0,5
EUW1_6734030649,True,13845,5,1,10,269,11,36494,195315,3,0,10,1,1,7
EUW1_6734108552,False,7484,3,8,6,27,26,13615,43415,0,0,1,3,0,6
EUW1_6741166962,False,28229,9,16,11,512,52,33949,441714,1,0,1,3,1,11
EUW1_6741236143,False,40263,14,12,23,692,48,49315,746719,4,0,1,2,2,11
EUW1_6741324153,True,34046,15,2,30,570,55,67007,528945,4,1,8,0,0,3
EUW1_6741384345,False,41425,17,14,16,669,39,53175,832938,1,0,0,4,1,11
EUW1_6748532873,False,2056,0,0,0,16,0,256,7962,0,0,0,0,0,0
