TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,expected_win_rate
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,57.75097125097125
Tibbtokontop#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,57.49625468164794
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,57.306526806526804
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,56.277777777777786
Tibbtokontop#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,56.0603572457505
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,55.833333333333336
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,55.77069351230425
WT Nasty Boy#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,55.28271728271727
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,54.95097125097125
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,54.841880341880334
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,54.397435897435884
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,53.992063492063494
Sporus#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.80952380952381
Sporus#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,53.74688398849472
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,53.62306427422706
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.547619047619044
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,53.48497922658997
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,Tibbtokontop#EUW,53.47777777777778
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.368347704903755
Sporus#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,Tibbtokontop#EUW,53.24589371980676
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.178619829782626
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,52.970693512304244
