TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,expected_win_rate,expected_win_rate_overall
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,57.75097125097125,47.5242554586667
Tibbtokontop#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,57.49625468164794,47.41174562389093
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,57.306526806526804,48.20040355973137
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,56.277777777777786,45.721184094619716
Tibbtokontop#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,56.0603572457505,48.35533154829979
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,55.833333333333336,46.39733219568439
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,55.77069351230425,46.50984203046017
WT Nasty Boy#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,55.28271728271727,47.783133203312936
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,54.95097125097125,47.53995628652852
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,54.841880341880334,46.66477001902858
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,54.397435897435884,47.34091812009326
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,53.992063492063494,45.07303594647157
Sporus#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.80952380952381,45.980061839265964
Sporus#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,53.74688398849472,46.092571674041736
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,53.62306427422706,45.44442352589358
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.547619047619044,45.74918404753625
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,53.48497922658997,45.86169388231202
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,Tibbtokontop#EUW,53.47777777777778,45.73688492248156
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.368347704903755,45.33191369111781
Sporus#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,Tibbtokontop#EUW,53.24589371980676,46.552260184252816
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,53.178619829782626,46.12057162695826
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,52.970693512304244,46.52554285832199
Sporus#EUW,BuddhaGoesSmite#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,52.93333333333333,46.768719775106405
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,52.556166056166056,46.01662187088043
Sporus#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,52.37362637362637,46.92364776367482
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,52.36208236208236,45.84939475725732
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,52.14987080103359,43.641352161846605
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,52.111721611721606,46.69276997194511
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,52.04188034188035,46.68047084689041
Tibbtokontop#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,51.93245026900632,46.27549961552668
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,51.70542635658914,44.31750026291129
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,51.642786535560056,44.43001009768706
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,Tibbtokontop#EUW,51.19206349206349,45.08873677433341
WT BrokenSword#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,Tibbtokontop#EUW,50.96017943409248,45.904112036104664
Sporus#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,50.94688398849472,46.108272501903556
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,50.88095238095238,44.05862251826503
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,50.82306427422706,45.46012435375541
Sporus#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,50.71397336513614,44.58493808625548
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,50.68497922658997,45.87739471017384
Sporus#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,50.269528920691705,45.261086187320146
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,49.75616605616605,46.03232269874226
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,49.44505494505494,45.0022084426739
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,Tibbtokontop#EUW,49.34987080103359,43.65705298970845
Sporus#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,Tibbtokontop#EUW,49.11798674306258,44.472428251479705
Sporus#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,48.94444444444444,44.21355050683346
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,48.842786535560066,44.44571092554888
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Sporus#EUW,Tibbtokontop#EUW,48.6031746031746,43.3981752450622
Sporus#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,48.50000000000001,44.88969860789814
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,48.234175385338176,43.76956282448421
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Sporus#EUW,WT GigaChad#1070,48.15873015873016,44.074323346126874
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,48.09609033770108,44.18683318090264
