team,expected_win_rate,assignment
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Tibbtokontop#EUW', 'WT Final Stand#EUW', 'WT Nasty Boy#EUW')",57.75097125097125,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→MIDDLE (46.2%); Tibbtokontop#EUW→UTILITY (55.6%); WT Final Stand#EUW→JUNGLE (62.5%); WT Nasty Boy#EUW→TOP (54.5%)
"('Billy Bongo#EUW', 'Tibbtokontop#EUW', 'WT Final Stand#EUW', 'WT GigaChad#1070', 'WT Nasty Boy#EUW')",57.49625468164794,Billy Bongo#EUW→BOTTOM (70.0%); Tibbtokontop#EUW→TOP (48.3%); WT Final Stand#EUW→JUNGLE (62.5%); WT GigaChad#1070→UTILITY (53.3%); WT Nasty Boy#EUW→MIDDLE (53.3%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'WT Final Stand#EUW', 'WT GigaChad#1070', 'WT Nasty Boy#EUW')",57.306526806526804,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→MIDDLE (46.2%); WT Final Stand#EUW→JUNGLE (62.5%); WT GigaChad#1070→UTILITY (53.3%); WT Nasty Boy#EUW→TOP (54.5%)
"('Billy Bongo#EUW', 'Sporus#EUW', 'Tibbtokontop#EUW', 'WT Final Stand#EUW', 'WT Nasty Boy#EUW')",56.277777777777786,Billy Bongo#EUW→BOTTOM (70.0%); Sporus#EUW→TOP (40.0%); Tibbtokontop#EUW→UTILITY (55.6%); WT Final Stand#EUW→JUNGLE (62.5%); WT Nasty Boy#EUW→MIDDLE (53.3%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Tibbtokontop#EUW', 'WT Final Stand#EUW', 'WT GigaChad#1070')",56.0603572457505,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→MIDDLE (46.2%); Tibbtokontop#EUW→TOP (48.3%); WT Final Stand#EUW→JUNGLE (62.5%); WT GigaChad#1070→UTILITY (53.3%)
"('Billy Bongo#EUW', 'Sporus#EUW', 'WT Final Stand#EUW', 'WT GigaChad#1070', 'WT Nasty Boy#EUW')",55.833333333333336,Billy Bongo#EUW→BOTTOM (70.0%); Sporus#EUW→TOP (40.0%); WT Final Stand#EUW→JUNGLE (62.5%); WT GigaChad#1070→UTILITY (53.3%); WT Nasty Boy#EUW→MIDDLE (53.3%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Sporus#EUW', 'WT Final Stand#EUW', 'WT Nasty Boy#EUW')",55.77069351230425,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→UTILITY (53.0%); Sporus#EUW→TOP (40.0%); WT Final Stand#EUW→JUNGLE (62.5%); WT Nasty Boy#EUW→MIDDLE (53.3%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Tibbtokontop#EUW', 'WT GigaChad#1070', 'WT Nasty Boy#EUW')",55.28271728271727,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→MIDDLE (46.2%); Tibbtokontop#EUW→JUNGLE (52.4%); WT GigaChad#1070→UTILITY (53.3%); WT Nasty Boy#EUW→TOP (54.5%)
"('BuddhaGoesSmite#EUW', 'Tibbtokontop#EUW', 'WT Final Stand#EUW', 'WT GigaChad#1070', 'WT Nasty Boy#EUW')",54.95097125097125,BuddhaGoesSmite#EUW→MIDDLE (46.2%); Tibbtokontop#EUW→UTILITY (55.6%); WT Final Stand#EUW→JUNGLE (62.5%); WT GigaChad#1070→BOTTOM (56.0%); WT Nasty Boy#EUW→TOP (54.5%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Sporus#EUW', 'Tibbtokontop#EUW', 'WT Final Stand#EUW')",54.841880341880334,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→MIDDLE (46.2%); Sporus#EUW→TOP (40.0%); Tibbtokontop#EUW→UTILITY (55.6%); WT Final Stand#EUW→JUNGLE (62.5%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Sporus#EUW', 'WT Final Stand#EUW', 'WT GigaChad#1070')",54.397435897435884,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→MIDDLE (46.2%); Sporus#EUW→TOP (40.0%); WT Final Stand#EUW→JUNGLE (62.5%); WT GigaChad#1070→UTILITY (53.3%)
"('Billy Bongo#EUW', 'Tibbtokontop#EUW', 'WT BrokenSword#EUW', 'WT Final Stand#EUW', 'WT Nasty Boy#EUW')",53.992063492063494,Billy Bongo#EUW→BOTTOM (70.0%); Tibbtokontop#EUW→UTILITY (55.6%); WT BrokenSword#EUW→TOP (28.6%); WT Final Stand#EUW→JUNGLE (62.5%); WT Nasty Boy#EUW→MIDDLE (53.3%)
"('Billy Bongo#EUW', 'Sporus#EUW', 'Tibbtokontop#EUW', 'WT GigaChad#1070', 'WT Nasty Boy#EUW')",53.80952380952381,Billy Bongo#EUW→BOTTOM (70.0%); Sporus#EUW→TOP (40.0%); Tibbtokontop#EUW→JUNGLE (52.4%); WT GigaChad#1070→UTILITY (53.3%); WT Nasty Boy#EUW→MIDDLE (53.3%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Sporus#EUW', 'Tibbtokontop#EUW', 'WT Nasty Boy#EUW')",53.74688398849472,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→UTILITY (53.0%); Sporus#EUW→TOP (40.0%); Tibbtokontop#EUW→JUNGLE (52.4%); WT Nasty Boy#EUW→MIDDLE (53.3%)
"('Billy Bongo#EUW', 'BuddhaGoesSmite#EUW', 'Tibbtokontop#EUW', 'WT BrokenSword#EUW', 'WT Nasty Boy#EUW')",53.62306427422706,Billy Bongo#EUW→BOTTOM (70.0%); BuddhaGoesSmite#EUW→MIDDLE (46.2%); Tibbtokontop#EUW→UTILITY (55.6%); WT BrokenSword#EUW→JUNGLE (41.9%); WT Nasty Boy#EUW→TOP (54.5%)
