TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,games,wins,win_rate
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Sporus#EUW,WT GigaChad#1070,4,4,100.0
WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,3,3,100.0
WT Final Stand#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,2,2,100.0
WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,2,2,100.0
WT Final Stand#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,2,2,100.0
Billy Bongo#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,1,1,100.0
Billy Bongo#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,1,1,100.0
Billy Bongo#EUW,WT Final Stand#EUW,Tibbtokontop#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Billy Bongo#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,1,100.0
BuddhaGoesSmite#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,1,1,100.0
Tibbtokontop#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT Final Stand#EUW,1,1,100.0
Tibbtokontop#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,WT GigaChad#1070,Billy Bongo#EUW,Sporus#EUW,WT Final Stand#EUW,1,1,100.0
Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,1,1,100.0
WT BrokenSword#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,1,1,100.0
